[RUN] ALT_HOLD hover=1120 target=1.50 kp=1.10 ki=3.00 kd=120.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,setpt,fV,rawV,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat
[FLT] 67,10,settle,0.020,0.020,-1.000,0,0.210,0.000,0.000,-3,0.000,0.000,0.000,0,0,1200,1200,1200,1200,0
[FLT] 128,10,settle,-0.020,-0.020,-1.000,0,0.210,0.000,0.000,6,0.000,0.000,0.000,0,0,1200,1200,1200,1200,0
[FLT] 189,10,settle,-0.040,-0.040,-1.000,0,0.150,0.000,0.000,6,0.000,0.000,0.000,0,0,1200,1200,1200,1200,0
[FLT] 250,10,settle,0.110,0.110,-1.000,0,0.330,0.000,0.000,6,0.000,0.000,0.000,0,0,1200,1200,1200,1200,0
[FLT] 310,10,settle,0.070,0.070,-1.000,0,0.520,0.000,0.000,6,0.000,0.000,0.000,0,0,1200,1200,1200,1200,0
[FLT] 371,10,settle,-0.020,-0.020,-1.000,0,0.510,0.000,0.000,6,0.000,0.000,0.000,0,0,1200,1200,1200,1200,0
[FLT] 432,10,settle,0.000,0.000,-1.000,0,0.490,0.000,0.000,6,0.000,0.000,0.000,0,0,1200,1200,1200,1200,0
[FLT] 492,10,settle,0.060,0.060,-1.000,0,0.570,0.000,0.000,6,0.000,0.000,0.000,0,0,1200,1200,1200,1200,0
[FLT] 554,10,guard,0.330,0.330,-1.000,0,0.900,0.330,0.000,45,0.000,0.000,0.000,0,0,1204,1204,1204,1204,0
[FLT] 614,10,guard,-0.288,-0.288,0.064,100,1.020,-0.288,0.000,45,0.000,0.000,0.000,0,0,1209,1209,1209,1209,0
[FLT] 674,10,guard,-0.233,-0.233,0.119,100,0.690,-0.233,0.000,45,0.000,0.000,0.000,0,0,1213,1213,1213,1213,0
[FLT] 735,10,guard,-0.233,-0.233,0.119,100,0.490,-0.233,0.000,6,0.000,0.000,0.000,0,0,1218,1218,1218,1218,0
[FLT] 796,10,guard,-0.195,-0.195,0.157,100,0.270,-0.195,0.000,6,0.000,0.000,0.000,0,0,1223,1223,1223,1223,0
[FLT] 856,10,guard,-0.120,-0.120,0.232,100,0.150,-0.120,0.000,20,0.000,0.000,0.000,0,0,1228,1228,1228,1228,0
[FLT] 917,10,guard,-0.120,-0.120,0.232,100,0.120,-0.120,0.000,20,0.000,0.000,0.000,0,0,1233,1233,1233,1233,0
[FLT] 977,10,guard,-0.029,-0.029,0.323,100,0.150,-0.029,0.000,84,0.000,0.000,0.000,0,0,1238,1238,1238,1238,0
[FLT] 1038,10,guard,0.076,0.076,0.428,100,0.200,0.076,0.000,84,0.000,0.000,0.000,0,0,1243,1243,1243,1243,0
[FLT] 1099,10,guard,0.076,0.076,0.428,100,0.240,0.076,0.000,85,0.000,0.000,0.000,0,0,1247,1247,1247,1247,0
[FLT] 1159,10,guard,0.203,0.203,0.555,100,0.300,0.203,0.000,85,0.000,0.000,0.000,0,0,1252,1252,1252,1252,0
[FLT] 1220,10,cascade,0.327,0.327,0.679,100,0.320,0.253,0.086,95,-0.081,-0.074,-0.168,-20,-0,1100,1099,1050,1420,0
[FLT] 1281,10,cascade,0.327,0.327,0.679,100,0.390,0.314,0.238,95,-0.014,-0.013,-0.253,-30,-0,1090,1089,1050,1420,0
[FLT] 1341,10,cascade,0.438,0.438,0.790,100,0.500,0.374,0.456,149,-0.070,-0.064,-0.526,-63,-0,1057,1056,1050,1420,0
[FLT] 1402,10,cascade,0.520,0.520,0.872,100,0.600,0.435,0.638,149,-0.094,-0.085,-0.731,-88,-0,1032,1050,1050,1420,-1
[FLT] 1463,10,cascade,0.520,0.520,0.872,100,0.670,0.496,0.709,104,-0.026,-0.024,-0.735,-88,-0,1032,1050,1050,1420,-1
[FLT] 1524,10,cascade,0.584,0.584,0.936,100,0.730,0.557,0.767,104,-0.030,-0.027,-0.797,-96,-0,1024,1050,1050,1420,-1
[FLT] 1585,10,cascade,0.625,0.625,0.977,100,0.790,0.618,0.764,75,-0.008,-0.007,-0.772,-93,-0,1027,1050,1050,1420,-1
[FLT] 1645,10,cascade,0.625,0.625,0.977,100,0.830,0.678,0.762,75,0.058,0.053,-0.703,-84,-0,1035,1050,1050,1420,-1
[FLT] 1706,10,cascade,0.652,0.652,1.004,100,0.910,0.739,0.742,65,0.096,0.087,-0.646,-78,-0,1042,1050,1050,1420,-1
[FLT] 1766,10,cascade,0.681,0.681,1.033,100,1.040,0.799,0.726,65,0.130,0.118,-0.596,-72,-0,1048,1050,1050,1420,-1
[FLT] 1827,10,cascade,0.681,0.681,1.033,100,1.110,0.860,0.672,42,0.197,0.179,-0.475,-57,-0,1063,1062,1050,1420,0
[FLT] 1888,10,cascade,0.729,0.729,1.081,100,1.110,0.921,0.628,42,0.211,0.192,-0.416,-50,-0,1070,1069,1050,1420,0
[FLT] 1949,10,cascade,0.726,0.726,1.078,100,1.100,0.982,0.588,40,0.282,0.256,-0.306,-37,-0,1083,1082,1050,1420,0
[FLT] 2009,10,cascade,0.724,0.724,1.076,100,1.110,1.042,0.555,40,0.350,0.318,-0.205,-25,-0,1095,1094,1050,1420,0
[FLT] 2070,10,cascade,0.704,0.704,1.056,100,1.150,1.103,0.480,13,0.439,0.399,-0.041,-5,-0,1115,1114,1050,1420,0
[FLT] 2131,10,cascade,0.660,0.660,1.012,100,1.150,1.164,0.419,13,0.554,0.504,0.136,16,-0,1136,1135,1050,1420,0
[FLT] 2191,10,cascade,0.660,0.660,1.012,100,1.120,1.224,0.311,-20,0.600,0.564,0.289,35,-0,1154,1154,1050,1420,0
[FLT] 2252,10,cascade,0.666,0.666,1.018,100,1.100,1.285,0.221,-20,0.600,0.619,0.379,45,-0,1165,1165,1050,1420,0
[FLT] 2313,10,cascade,0.626,0.626,0.978,100,1.090,1.346,0.140,-24,0.600,0.720,0.460,55,-0,1175,1174,1050,1420,0
[FLT] 2373,10,cascade,0.586,0.586,0.938,100,1.030,1.406,0.074,-24,0.600,0.820,0.526,63,-0,1183,1182,1050,1420,0
