[RUN] ALT_HOLD hover=1205 target=5.00 kp=1.10 ki=3.00 kd=120.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,rawV,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat
[FLT] 54,10,settle,0.010,0.010,-1.000,0,-0.060,3.440,0,0.000,0.000,-21,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 114,10,settle,0.010,0.010,-1.000,0,-0.040,3.460,0,0.000,0.000,-21,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 175,10,settle,0.030,0.030,-1.000,0,0.000,3.500,0,0.000,0.000,-21,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 236,10,settle,-0.010,-0.010,-1.000,0,-0.010,3.490,0,0.000,0.000,-21,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 297,10,settle,0.000,0.000,-1.000,0,-0.020,3.480,0,0.000,0.000,-21,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 357,10,settle,0.020,0.020,-1.000,0,0.020,3.520,0,0.000,0.000,-21,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 418,10,settle,-3.473,-3.473,0.057,100,0.040,3.122,1,0.000,0.000,-10,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 479,10,settle,0.207,0.207,0.264,100,0.050,2.464,1,0.000,0.000,-10,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 540,10,guard,0.000,0.000,0.264,100,0.010,1.935,1,0.000,0.000,92,0.000,0.000,0.000,0,0,1288,1288,1288,1288,0
[FLT] 600,10,guard,0.000,0.000,0.213,100,-0.020,1.522,1,0.000,0.000,92,0.000,0.000,0.000,0,0,1293,1293,1293,1293,0
[FLT] 661,10,guard,0.096,0.096,0.360,100,-0.030,1.237,1,0.096,0.000,85,0.000,0.000,0.000,0,0,1297,1297,1297,1297,0
[FLT] 722,10,guard,0.096,0.096,0.360,100,0.020,1.083,1,0.096,0.000,85,0.000,0.000,0.000,0,0,1302,1302,1302,1302,0
[FLT] 783,10,guard,0.358,0.358,0.622,100,0.090,1.036,1,0.358,0.000,157,0.000,0.000,0.000,0,0,1307,1307,1307,1307,0
[FLT] 843,10,cascade,0.703,0.703,0.967,100,0.120,1.054,1,0.407,0.138,157,-0.326,-0.296,-0.464,-56,-0,1149,1149,1000,1505,0
[FLT] 904,10,cascade,0.703,0.703,0.967,100,0.140,1.063,3,0.468,0.453,226,-0.259,-0.235,-0.712,-85,-0,1119,1119,1000,1505,0
[FLT] 965,10,cascade,0.527,0.527,0.791,100,0.220,1.069,1,0.529,0.767,226,0.002,0.002,-0.765,-92,-0,1113,1112,1000,1505,0
[FLT] 1025,10,cascade,0.633,0.633,0.897,100,0.350,1.170,3,0.589,0.888,70,-0.048,-0.044,-0.936,-112,-0,1092,1092,1000,1505,0
[FLT] 1086,10,cascade,0.854,0.854,1.118,100,0.400,1.207,1,0.650,0.855,70,-0.224,-0.204,-1.079,-129,-1,1075,1074,1000,1505,0
[FLT] 1146,10,cascade,0.854,0.854,1.118,100,0.450,1.257,3,0.710,0.883,131,-0.158,-0.144,-1.042,-125,-1,1079,1079,1000,1505,0
[FLT] 1207,10,cascade,0.854,0.854,1.118,100,0.600,1.407,3,0.771,0.958,131,-0.091,-0.083,-1.050,-126,-1,1078,1078,1000,1505,0
[FLT] 1267,10,cascade,1.004,1.004,1.268,100,0.690,1.470,1,0.831,1.016,127,-0.190,-0.173,-1.206,-145,-1,1059,1059,1000,1505,0
[FLT] 1329,10,cascade,1.004,1.004,1.268,100,0.750,1.503,3,0.893,1.061,127,-0.122,-0.111,-1.183,-142,-1,1062,1061,1000,1505,0
[FLT] 1388,10,cascade,1.004,1.004,1.268,100,0.830,1.583,3,0.952,1.033,57,-0.057,-0.052,-1.090,-131,-2,1073,1072,1000,1505,0
[FLT] 1449,10,cascade,1.004,1.004,1.268,100,0.870,1.623,3,1.013,0.952,57,0.010,0.009,-0.942,-113,-2,1090,1090,1000,1505,0
[FLT] 1510,10,cascade,1.751,1.751,2.015,100,0.910,1.747,1,1.074,1.162,362,-0.450,-0.677,-1.612,-193,-2,1009,1009,1000,1505,0
[FLT] 1570,10,cascade,1.751,1.751,2.015,100,0.950,1.841,1,1.134,1.588,362,-0.450,-0.617,-2.038,-245,-2,958,1000,1000,1505,-1
[FLT] 1631,10,cascade,1.751,1.751,2.015,100,0.940,1.831,3,1.195,1.765,163,-0.450,-0.556,-2.215,-266,-2,937,1000,1000,1505,-1
[FLT] 1691,10,cascade,1.751,1.751,2.015,100,0.950,1.841,3,1.255,1.742,163,-0.448,-0.496,-2.189,-263,-2,940,1000,1000,1505,-1
[FLT] 1752,10,cascade,1.751,1.751,2.015,100,1.010,1.901,3,1.316,1.640,73,-0.412,-0.435,-2.052,-246,-2,957,1000,1000,1505,-1
[FLT] 1813,10,cascade,1.751,1.751,2.015,100,1.010,1.901,3,1.377,1.480,73,-0.376,-0.374,-1.856,-223,-2,980,1000,1000,1505,-1
[FLT] 1874,10,cascade,2.136,2.136,2.400,100,1.020,1.970,1,1.438,1.471,208,-0.450,-0.698,-1.921,-230,-2,972,1000,1000,1505,-1
[FLT] 1934,10,cascade,2.136,2.136,2.400,100,0.990,1.940,3,1.498,1.576,208,-0.450,-0.638,-2.026,-243,-2,960,1000,1000,1505,-1
[FLT] 1995,10,cascade,2.136,2.136,2.400,100,0.940,1.890,3,1.559,1.561,93,-0.450,-0.577,-2.011,-241,-2,962,1000,1000,1505,-1
[FLT] 2056,10,cascade,2.835,2.835,3.099,100,0.890,1.987,3,1.620,1.450,93,-0.450,-1.215,-1.900,-228,-2,975,1000,1000,1505,-1
[FLT] 2116,10,cascade,2.791,2.791,3.055,100,0.790,2.146,1,1.680,1.583,339,-0.450,-1.111,-2.033,-244,-2,959,1000,1000,1505,-1
[FLT] 2177,10,cascade,2.965,2.965,3.229,100,0.750,2.240,3,1.741,1.901,339,-0.450,-1.224,-2.351,-282,-2,921,1000,1000,1505,-1
[FLT] 2238,10,cascade,3.083,3.083,3.347,100,0.700,2.329,1,1.802,2.112,284,-0.450,-1.281,-2.562,-307,-2,896,1000,1000,1505,-1
[FLT] 2298,10,cascade,3.083,3.083,3.347,100,0.660,2.289,3,1.862,2.238,284,-0.450,-1.221,-2.688,-323,-2,880,1000,1000,1505,-1
[FLT] 2360,10,cascade,3.083,3.083,3.347,100,0.670,2.299,3,1.924,2.199,128,-0.450,-1.159,-2.649,-318,-2,885,1000,1000,1505,-1
[FLT] 2420,10,cascade,3.083,3.083,3.347,100,0.630,2.259,3,1.984,2.040,128,-0.450,-1.099,-2.490,-299,-2,904,1000,1000,1505,-1
[FLT] 2480,10,cascade,3.083,3.083,3.347,100,0.500,2.129,3,2.044,1.843,57,-0.450,-1.039,-2.293,-275,-2,928,1000,1000,1505,-1
[FLT] 2541,10,cascade,1.645,1.645,-1.000,0,0.280,1.909,0,2.105,1.542,-26,0.506,0.460,-1.035,-124,-2,1079,1078,1000,1505,0
[FLT] 2601,10,cascade,1.485,1.485,-1.000,0,0.120,1.749,0,2.165,1.229,-26,0.600,0.680,-0.629,-75,-2,1127,1127,1000,1505,0
[FLT] 2662,10,cascade,1.505,1.505,-1.000,0,0.140,1.769,0,2.226,0.967,-26,0.600,0.721,-0.367,-44,-2,1159,1158,1000,1505,0
[FLT] 2722,10,cascade,1.475,1.475,-1.000,0,0.110,1.739,0,2.286,0.754,-26,0.600,0.811,-0.154,-18,-2,1184,1184,1000,1505,0
[FLT] 2783,10,cascade,1.435,1.435,-1.000,0,0.070,1.699,0,2.347,0.575,-26,0.600,0.912,0.025,3,-2,1206,1205,1000,1505,0
[FLT] 2844,10,cascade,0.094,0.094,0.358,100,0.060,1.529,1,2.408,0.428,-26,0.600,2.314,0.172,21,-2,1223,1223,1000,1505,0
[FLT] 2905,10,cascade,0.060,0.060,0.324,100,0.040,1.244,1,2.469,0.307,-26,0.600,2.409,0.293,35,-2,1238,1237,1000,1505,0
[FLT] 2965,10,cascade,0.060,0.060,0.324,100,-0.010,0.996,1,2.529,0.241,10,0.600,2.469,0.359,43,-2,1246,1245,1000,1505,0
[FLT] 3026,10,cascade,0.026,0.026,0.290,100,-0.030,0.820,1,2.590,0.217,10,0.600,2.564,0.383,46,-2,1249,1248,1000,1505,0
[FLT] 3086,10,cascade,0.000,0.000,0.183,100,-0.030,0.688,1,2.650,0.134,-59,0.600,2.650,0.466,56,-2,1259,1258,1000,1505,0
[FLT] 3147,10,cascade,0.000,0.000,0.183,100,-0.080,0.532,1,2.711,0.006,-59,0.600,2.711,0.594,71,-2,1274,1274,1000,1505,0
[FLT] 3208,10,cascade,0.000,0.000,0.096,100,-0.170,0.359,1,2.772,-0.104,-65,0.600,2.772,0.704,85,-2,1288,1287,1000,1505,0
[FLT] 3268,10,cascade,0.000,0.000,0.040,100,-0.280,0.200,1,2.832,-0.199,-65,0.600,2.832,0.799,96,-2,1299,1299,1000,1505,0
[FLT] 3329,10,cascade,0.000,0.000,0.040,100,-0.720,-0.211,1,2.893,-0.269,-55,0.600,2.893,0.869,104,-2,1308,1307,1000,1505,0
[FLT] 3390,10,cascade,0.000,0.000,0.040,100,-1.200,-0.691,3,2.954,-0.319,-55,0.600,2.954,0.919,110,-1,1314,1313,1000,1505,0
[FLT] 3450,10,cascade,0.000,0.000,0.102,100,-1.390,-0.763,1,3.014,-0.306,3,0.600,3.014,0.906,109,-1,1312,1312,1000,1505,0
[FLT] 3511,10,cascade,0.090,0.090,0.354,100,-0.960,-0.177,1,3.075,-0.247,3,0.600,2.985,0.847,102,-1,1306,1305,1000,1505,0
[FLT] 3571,10,cascade,0.135,0.135,0.399,100,-0.420,0.392,1,3.135,-0.078,136,0.600,3.000,0.678,81,-1,1285,1285,1000,1505,0
[FLT] 3632,10,cascade,0.135,0.135,0.399,100,-0.120,0.638,1,3.196,0.175,136,0.600,3.061,0.425,51,-1,1255,1255,1000,1505,0
[FLT] 3692,10,cascade,0.229,0.229,0.493,100,0.000,0.704,1,3.256,0.352,104,0.600,3.027,0.248,30,-1,1234,1233,1000,1505,0
[FLT] 3753,10,cascade,0.269,0.269,0.533,100,0.030,0.685,1,3.317,0.473,104,0.600,3.048,0.127,15,-1,1219,1219,1000,1505,0
[FLT] 3814,10,cascade,0.269,0.269,0.533,100,0.040,0.695,3,3.378,0.536,64,0.600,3.109,0.064,8,-1,1212,1211,1000,1505,0
