[RUN] ALT_HOLD hover=1430 target=1.10 kp=1.10 ki=0.00 kd=100.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 113,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-24,8,517,-12,4,-17,-0.8,1.8,0,124,35,1500,1800,1800,12.4,0.32,31
[FLT] 190,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-7,6,512,-1,-6,-19,-0.6,1.6,359,124,35,1500,1800,1800,12.4,0.32,31
[FLT] 272,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-7,6,512,-1,-6,-19,-0.6,1.6,359,125,35,1500,1800,1800,12.3,3.85,31
[FLT] 354,10,settle,0.047,0.047,0.047,100,0.440,0.367,1,0.000,0.000,0,85,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-3,3,635,45,-183,-88,-0.6,1.6,359,125,35,1500,1800,1800,12.3,3.85,31
[FLT] 435,10,settle,0.035,0.035,0.082,100,0.750,0.552,1,0.000,0.000,21,219,21,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-3,3,635,45,-183,-88,-0.2,0.7,0,124,35,1500,1800,1800,12.3,3.85,31
[FLT] 517,10,guard,0.000,0.000,0.082,100,0.490,0.228,1,0.000,0.000,25,162,25,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-3,3,635,45,-183,-88,-0.2,0.7,0,124,35,1500,1800,1800,12.2,3.50,31
[FLT] 595,10,guard,0.035,0.035,0.117,100,0.230,-0.013,1,0.035,0.000,25,19,25,0,0.000,0.000,0.000,0,0,1447,1447,1447,1447,0,-33,-19,550,42,-147,230,-0.2,0.1,0,124,35,1500,1800,1800,12.2,3.50,31
[FLT] 676,10,guard,0.115,0.115,0.197,100,0.120,-0.055,1,0.115,0.000,63,-59,63,0,0.000,0.000,0.000,0,0,1450,1450,1450,1450,0,-33,-19,550,42,-147,230,-0.2,0.1,0,124,35,1500,1800,1800,12.2,3.45,31
[FLT] 758,10,guard,0.158,0.158,0.240,100,0.100,-0.004,1,0.158,0.000,48,-85,48,0,0.000,0.000,0.000,0,0,1452,1452,1452,1452,0,-56,22,600,54,152,132,-0.2,0.1,0,124,35,1500,1800,1800,12.2,3.45,31
[FLT] 839,10,cascade,0.232,0.232,0.314,100,0.190,0.143,1,0.294,0.142,48,-47,48,0,0.068,0.062,-0.074,-7,-0,1423,1422,1130,1730,0,-56,22,600,54,152,132,0.0,0.2,0,125,35,1500,1800,1800,12.2,3.45,31
[FLT] 921,10,cascade,0.322,0.322,0.404,100,0.260,0.251,1,0.376,0.345,55,0,55,0,0.059,0.054,-0.285,-29,-0,1401,1401,1130,1730,0,-56,22,600,54,152,132,0.0,0.2,0,125,35,1500,1800,1800,12.2,3.37,31
[FLT] 999,10,cascade,0.423,0.423,0.505,100,0.330,0.356,1,0.454,0.601,111,18,111,0,0.034,0.031,-0.567,-57,-0,1373,1373,1130,1730,0,2,-24,521,19,13,-99,0.1,0.1,0,125,35,1500,1800,1800,12.2,3.37,31
[FLT] 1080,10,cascade,0.519,0.519,0.601,100,0.420,0.475,1,0.535,0.852,111,48,111,0,0.018,0.016,-0.834,-83,-0,1347,1346,1130,1730,0,2,-24,521,19,13,-99,0.1,0.1,0,124,35,1500,1800,1800,12.2,2.70,31
[FLT] 1162,10,cascade,0.606,0.606,0.688,100,0.480,0.562,1,0.617,0.891,93,69,93,0,0.012,0.011,-0.879,-88,-0,1342,1342,1130,1730,0,-18,17,386,-13,53,-35,0.1,0.1,0,124,35,1500,1800,1800,12.2,2.70,31
[FLT] 1243,10,cascade,0.606,0.606,0.688,100,0.550,0.649,1,0.698,0.875,81,74,81,0,0.101,0.092,-0.773,-77,-0,1353,1352,1130,1730,0,-18,17,386,-13,53,-35,0.0,0.1,0,124,35,1500,1800,1800,12.2,2.70,31
[FLT] 1326,10,cascade,0.679,0.679,0.761,100,0.640,0.749,1,0.781,0.842,81,83,81,0,0.112,0.102,-0.730,-73,-0,1357,1356,1130,1730,0,-18,17,386,-13,53,-35,0.0,0.1,0,124,35,1500,1800,1800,12.2,2.10,31
[FLT] 1403,10,cascade,0.726,0.726,0.808,100,0.670,0.788,1,0.858,0.870,90,80,90,0,0.145,0.132,-0.725,-72,-0,1358,1357,1130,1730,0,35,36,375,16,-61,44,0.0,0.1,0,124,35,1500,1800,1800,12.2,2.10,31
[FLT] 1485,10,cascade,0.738,0.738,0.820,100,0.700,0.820,1,0.940,0.761,46,68,46,0,0.222,0.202,-0.539,-54,-0,1376,1376,1130,1730,0,35,36,375,16,-61,44,0.0,0.1,0,125,35,1500,1800,1800,12.2,2.07,31
[FLT] 1566,10,cascade,0.740,0.740,0.822,100,0.730,0.844,1,1.021,0.613,46,61,46,0,0.309,0.281,-0.304,-30,-0,1400,1399,1130,1730,0,-87,-45,452,32,96,37,0.0,0.1,0,125,35,1500,1800,1800,12.2,2.07,31
[FLT] 1648,10,cascade,0.722,0.722,0.804,100,0.740,0.847,1,1.100,0.413,21,40,21,0,0.416,0.378,0.003,0,0,1430,1430,1130,1730,0,-87,-45,452,32,96,37,0.0,0.1,0,124,35,1500,1800,1800,12.2,2.07,31
[FLT] 1730,10,cascade,0.686,0.686,0.768,100,0.730,0.823,1,1.100,0.207,-14,26,-14,0,0.455,0.414,0.249,25,0,1455,1454,1130,1730,0,-87,-45,452,32,96,37,0.0,0.1,0,124,35,1500,1800,1800,12.2,2.82,31
[FLT] 1808,10,cascade,0.657,0.657,0.739,100,0.690,0.774,1,1.100,0.039,-14,3,-14,0,0.487,0.443,0.448,45,0,1475,1474,1130,1730,0,-34,-12,589,-9,-92,84,-0.1,0.0,0,124,35,1500,1800,1800,12.2,2.82,31
[FLT] 1889,10,cascade,0.639,0.639,0.721,100,0.680,0.755,1,1.100,-0.074,-19,0,-19,0,0.507,0.461,0.581,58,0,1488,1488,1130,1730,0,-34,-12,589,-9,-92,84,-0.1,0.0,0,124,35,1500,1800,1800,12.1,3.57,31
[FLT] 1970,10,cascade,0.639,0.639,0.721,100,0.640,0.715,1,1.100,-0.126,-17,-7,-17,0,0.507,0.461,0.633,63,0,1493,1493,1130,1730,0,27,3,719,-33,-240,-122,-0.1,0.0,0,124,35,1500,1800,1800,12.1,3.57,31
[FLT] 2052,10,cascade,0.643,0.643,0.725,100,0.620,0.700,1,1.100,-0.148,-17,-13,-17,0,0.503,0.457,0.650,65,0,1495,1495,1130,1730,0,27,3,719,-33,-240,-122,0.0,0.0,0,124,35,1500,1800,1800,12.1,3.57,31
[FLT] 2134,10,cascade,0.678,0.678,0.760,100,0.630,0.723,1,1.100,-0.025,10,-14,10,0,0.464,0.422,0.489,49,0,1479,1478,1130,1730,0,27,3,719,-33,-240,-122,0.0,0.0,0,124,35,1500,1800,1800,12.1,3.92,31
[FLT] 2212,10,cascade,0.742,0.742,0.824,100,0.670,0.779,1,1.100,0.098,33,0,33,0,0.394,0.358,0.295,30,0,1460,1459,1130,1730,0,1,-2,674,-95,56,-232,0.0,0.0,0,124,35,1500,1800,1800,12.1,3.92,31
[FLT] 2293,10,cascade,0.827,0.827,0.909,100,0.710,0.839,1,1.100,0.213,33,6,33,0,0.300,0.273,0.087,9,0,1439,1438,1130,1730,0,1,-2,674,-95,56,-232,0.0,0.0,0,125,35,1500,1800,1800,12.1,3.65,31
[FLT] 2375,10,cascade,0.934,0.934,1.016,100,0.750,0.902,1,1.100,0.371,53,16,53,0,0.183,0.166,-0.188,-19,-0,1411,1411,1130,1730,0,8,2,553,-28,80,13,0.0,0.0,0,125,35,1500,1800,1800,12.1,3.65,31
[FLT] 2456,10,cascade,1.040,1.040,1.122,100,0.860,1.032,1,1.100,0.647,120,45,120,0,0.066,0.060,-0.581,-58,-0,1372,1371,1130,1730,0,8,2,553,-28,80,13,0.0,0.0,0,124,35,1500,1800,1800,12.1,3.65,31
[FLT] 2538,10,cascade,1.145,1.145,1.227,100,0.940,1.132,1,1.100,0.922,120,68,120,0,-0.049,-0.045,-0.972,-97,-0,1333,1332,1130,1730,0,8,2,553,-28,80,13,0.0,0.0,0,124,35,1500,1800,1800,12.1,2.85,31
[FLT] 2616,10,cascade,1.254,1.254,1.336,100,1.060,1.268,1,1.100,0.969,102,88,102,0,-0.169,-0.154,-1.139,-114,-0,1316,1316,1130,1730,0,-15,10,392,-7,-43,20,0.0,0.0,0,124,35,1500,1800,1800,12.1,2.85,31
[FLT] 2697,10,cascade,1.342,1.342,1.424,100,1.200,1.414,1,1.100,1.087,135,121,135,0,-0.266,-0.242,-1.353,-135,-0,1295,1294,1130,1730,0,-15,10,392,-7,-43,20,0.0,0.0,0,124,35,1500,1800,1800,12.1,1.97,31
[FLT] 2779,10,cascade,1.383,1.383,1.465,100,1.270,1.483,1,1.100,1.218,135,126,135,0,-0.311,-0.283,-1.529,-153,-0,1277,1277,1130,1730,0,-2,2,296,30,18,-21,0.0,0.0,0,124,35,1500,1800,1800,12.1,1.97,31
[FLT] 2860,10,cascade,1.415,1.415,1.497,100,1.370,1.569,1,1.100,1.076,93,123,93,0,-0.342,-0.315,-1.418,-142,-0,1288,1288,1130,1730,0,-2,2,296,30,18,-21,0.0,0.0,0,124,35,1500,1800,1800,12.1,1.97,31
[FLT] 2942,10,cascade,1.402,1.402,1.484,100,1.420,1.592,1,1.100,0.832,36,115,36,0,-0.332,-0.302,-1.164,-116,-0,1314,1313,1130,1730,0,-2,2,296,30,18,-21,0.0,0.0,0,124,35,1500,1800,1800,12.2,1.52,31
