[RUN] ALT_HOLD hover=1380 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt
[FLT] 91,10,settle,0.010,0.010,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1380,1380,1380,1380,0,-4,-27,515,-12,26,63,-1.3,0.1,321,124,35,1500,1800,1800,12.3,0.32,31,0.011,1,0,40
[FLT] 173,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1380,1380,1380,1380,0,-4,-27,515,-12,26,63,-1.3,0.1,321,124,35,1500,1800,1800,12.3,2.32,31,0.011,1,0,40
[FLT] 255,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1380,1380,1380,1380,0,-4,12,532,-201,-145,158,-1.3,0.1,321,124,35,1500,1800,1800,12.3,2.32,31,0.013,1,0,40
[FLT] 336,10,settle,0.003,0.003,0.000,100,0.220,0.220,1,0.000,0.000,1,38,0,2,0.000,0.000,0.000,0,0,1380,1380,1380,1380,0,-4,12,532,-201,-145,158,-0.3,0.0,319,125,35,1500,1800,1800,12.3,2.32,31,0.010,1,0,41
[FLT] 418,10,settle,0.013,0.013,-1.000,0,0.500,0.474,0,0.000,0.000,8,133,0,2,0.000,0.000,0.000,0,0,1380,1380,1380,1380,0,-4,12,532,-201,-145,158,-0.3,0.0,319,125,35,1500,1800,1800,12.2,2.65,31,0.010,0,2,40
[FLT] 496,10,settle,0.013,0.013,-1.000,0,0.520,0.432,0,0.000,0.000,13,161,0,2,0.000,0.000,0.000,0,0,1380,1380,1380,1380,0,-33,7,505,-6,-110,-205,-0.4,0.1,321,125,35,1500,1800,1800,12.2,2.65,31,0.013,0,2,41
[FLT] 578,10,guard,0.009,0.009,-1.000,0,0.450,0.313,0,0.009,0.093,14,116,0,2,0.000,0.000,0.000,0,0,1381,1381,1381,1381,0,-33,7,505,-6,-110,-205,-0.4,0.1,321,125,35,1500,1800,1800,12.2,2.40,31,0.012,0,2,40
[FLT] 659,10,guard,0.013,0.013,-1.000,0,0.540,0.361,0,0.013,0.116,13,79,0,2,0.000,0.000,0.000,0,0,1382,1382,1382,1382,0,-14,0,539,-74,-145,143,-0.4,0.1,321,125,35,1500,1800,1800,12.2,2.40,31,0.012,0,2,40
[FLT] 741,10,guard,0.017,0.017,-1.000,0,0.600,0.370,0,0.017,0.116,12,79,0,2,0.000,0.000,0.000,0,0,1383,1383,1383,1383,0,-14,0,539,-74,-145,143,-0.3,0.2,321,124,35,1500,1800,1800,12.2,2.40,31,0.012,0,2,40
[FLT] 824,10,guard,0.017,0.017,0.000,100,0.620,0.390,1,0.017,0.117,11,65,0,2,0.000,0.000,0.000,0,0,1384,1384,1384,1384,0,-14,0,539,-74,-145,143,-0.3,0.2,321,124,35,1500,1800,1800,12.2,2.27,31,0.012,1,0,40
[FLT] 901,10,guard,0.015,0.015,0.000,100,0.640,0.363,1,0.015,0.103,9,48,0,2,0.000,0.000,0.000,0,0,1386,1386,1386,1386,0,21,50,555,108,147,469,0.6,0.2,318,124,35,1500,1800,1800,12.2,2.27,31,0.014,1,0,40
[FLT] 983,10,guard,0.012,0.012,0.000,100,0.640,0.319,1,0.012,0.090,8,36,0,2,0.000,0.000,0.000,0,0,1387,1387,1387,1387,0,21,50,555,108,147,469,0.6,0.2,318,124,35,1500,1800,1800,12.1,2.82,31,0.015,1,0,40
[FLT] 1064,10,guard,0.009,0.009,0.000,100,0.670,0.311,1,0.009,0.074,6,29,0,2,0.000,0.000,0.000,0,0,1388,1388,1388,1388,0,-9,23,612,93,131,274,0.6,0.2,318,124,35,1500,1800,1800,12.1,2.82,31,0.024,1,0,40
[FLT] 1146,10,guard,0.015,0.015,-1.000,0,0.480,0.084,0,0.015,0.064,6,-3,0,2,0.000,0.000,0.000,0,0,1389,1389,1389,1389,0,-9,23,612,93,131,274,0.7,0.5,314,125,35,1500,1800,1800,12.1,2.82,31,0.024,0,2,41
[FLT] 1228,10,guard,0.012,0.012,-1.000,0,0.270,-0.117,0,0.012,0.054,5,-86,0,2,0.000,0.000,0.000,0,0,1390,1390,1390,1390,0,-9,23,612,93,131,274,0.7,0.5,314,125,35,1500,1800,1800,12.1,4.02,31,0.049,0,2,41
[FLT] 1306,10,guard,0.018,0.018,-1.000,0,0.190,-0.166,0,0.018,0.047,4,-124,0,2,0.000,0.000,0.000,0,0,1392,1392,1392,1392,0,9,36,647,4,17,282,0.3,0.3,310,125,35,1500,1800,1800,12.1,4.02,31,0.103,0,2,41
[FLT] 1389,10,guard,0.032,0.032,-1.000,0,0.140,-0.175,0,0.032,0.052,5,-121,0,2,0.000,0.000,0.000,0,0,1393,1393,1393,1393,0,9,36,647,4,17,282,0.3,0.3,310,125,35,1500,1800,1800,12.0,4.57,31,0.155,0,2,40
[FLT] 1470,10,guard,0.062,0.062,-1.000,0,0.190,-0.079,0,0.062,0.067,7,-87,0,2,0.000,0.000,0.000,0,0,1394,1394,1394,1394,0,-2,36,641,-9,-64,-120,0.3,0.3,310,125,35,1500,1800,1800,12.0,4.57,31,0.237,0,2,40
[FLT] 1552,10,guard,0.104,0.104,0.316,100,0.190,-0.079,1,0.104,0.085,11,-47,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,-2,36,641,-9,-64,-120,0.1,-0.1,309,124,35,1500,1800,1800,12.0,4.57,31,0.316,1,0,40
[FLT] 1634,10,guard,0.161,0.161,0.423,100,0.280,0.058,1,0.161,0.130,17,-3,0,2,0.000,0.000,0.000,0,0,1397,1397,1397,1397,0,-2,36,641,-9,-64,-120,0.1,-0.1,309,124,35,1500,1800,1800,12.0,3.87,31,0.423,1,0,41
[FLT] 1712,10,guard,0.228,0.228,0.518,100,0.330,0.152,1,0.228,0.184,23,14,0,2,0.000,0.000,0.000,0,0,1398,1398,1398,1398,0,7,4,442,-33,52,-685,-0.6,-0.2,317,124,35,1500,1800,1800,12.0,3.87,31,0.518,1,0,41
[FLT] 1794,10,guard,0.303,0.303,0.609,100,0.420,0.286,1,0.303,0.247,30,42,0,2,0.000,0.000,0.000,0,0,1399,1399,1399,1399,0,7,4,442,-33,52,-685,-0.6,-0.2,317,125,35,1500,1800,1800,12.0,3.22,31,0.609,1,0,41
[FLT] 1875,10,guard,0.326,0.326,-1.000,0,0.490,0.395,0,0.326,0.284,30,64,0,2,0.000,0.000,0.000,0,0,1400,1400,1400,1400,0,4,15,564,-35,75,-109,-0.6,-0.2,317,125,35,1500,1800,1800,12.0,3.22,31,0.609,0,2,41
[FLT] 1957,10,guard,0.410,0.410,-1.000,0,0.570,0.503,0,0.410,0.339,36,78,0,2,0.000,0.000,0.000,0,0,1401,1401,1401,1401,0,4,15,564,-35,75,-109,-0.5,0.4,322,124,35,1500,1800,1800,12.0,3.22,31,0.681,0,2,41
[FLT] 2039,10,guard,0.495,0.495,-1.000,0,0.640,0.599,0,0.495,0.403,43,83,0,2,0.000,0.000,0.000,0,0,1403,1403,1403,1403,0,4,15,564,-35,75,-109,-0.5,0.4,322,124,35,1500,1800,1800,12.0,3.37,31,0.763,0,2,40
[FLT] 2117,10,guard,0.583,0.583,-1.000,0,0.710,0.695,0,0.583,0.462,49,85,0,2,0.000,0.000,0.000,0,0,1404,1404,1404,1404,0,-7,-2,487,63,-21,383,0.3,-0.3,319,124,35,1500,1800,1800,12.0,3.37,31,0.845,0,2,41
[FLT] 2199,10,guard,0.672,0.672,-1.000,0,0.750,0.759,0,0.672,0.517,54,80,0,2,0.000,0.000,0.000,0,0,1405,1405,1405,1405,0,-7,-2,487,63,-21,383,0.3,-0.3,319,124,35,1500,1800,1800,12.0,2.90,31,0.921,0,2,40
[FLT] 2281,10,guard,0.756,0.756,0.989,100,0.820,0.829,1,0.756,0.547,58,76,0,2,0.000,0.000,0.000,0,0,1406,1406,1406,1406,0,-4,6,502,42,17,570,0.3,-0.3,319,124,35,1500,1800,1800,12.0,2.90,31,0.989,1,0,40
[FLT] 2363,10,guard,0.838,0.838,1.046,100,0.910,0.938,1,0.838,0.589,62,83,0,2,0.000,0.000,0.000,0,0,1407,1407,1407,1407,0,-4,6,502,42,17,570,0.4,-0.3,313,124,35,1500,1800,1800,12.0,2.90,31,1.046,1,0,41
[FLT] 2445,10,guard,0.915,0.915,1.099,100,1.000,1.041,1,0.915,0.622,65,95,0,2,0.000,0.000,0.000,0,0,1409,1409,1409,1409,0,-4,6,502,42,17,570,0.4,-0.3,313,124,35,1500,1800,1800,12.0,3.47,31,1.099,1,0,41
[FLT] 2523,10,guard,0.992,0.992,1.164,100,1.060,1.108,1,0.992,0.648,67,93,0,2,0.000,0.000,0.000,0,0,1410,1410,1410,1410,0,6,7,695,-19,64,292,0.9,0.6,308,124,35,1500,1800,1800,12.0,3.47,31,1.164,1,0,41
[FLT] 2604,10,guard,1.042,1.042,-1.000,0,1.090,1.145,0,1.042,0.656,66,82,0,2,0.000,0.000,0.000,0,0,1411,1411,1411,1411,0,6,7,695,-19,64,292,0.9,0.6,308,124,35,1500,1800,1800,12.0,4.65,31,1.164,0,2,41
[FLT] 2686,10,guard,1.119,1.119,-1.000,0,1.190,1.250,0,1.119,0.673,68,84,0,2,0.000,0.000,0.000,0,0,1412,1412,1412,1412,0,5,6,665,-94,-129,-166,0.9,0.6,308,124,35,1500,1800,1800,12.0,4.65,31,1.253,0,2,41
