[RUN] ALT_HOLD hover=1350 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 87,10,settle,0.000,0.000,-1.000,0,0.000,0.000,0,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-30,0,516,1,17,-6,0.5,3.4,343,124,35,1500,1800,1800,11.9,0.35,31,0.000,0,2,40,255,0
[FLT] 165,10,settle,0.000,0.000,0.000,80,0.000,0.000,3,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-29,12,511,-34,62,106,0.9,3.0,341,124,35,1500,1800,1800,11.9,0.35,31,0.007,0,2,40,0,0
[FLT] 246,10,settle,0.000,0.000,0.000,80,0.000,0.000,3,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-29,12,511,-34,62,106,0.9,3.0,341,125,35,1500,1800,1800,11.8,2.27,31,0.008,0,2,40,0,0
[FLT] 328,10,settle,0.002,0.002,0.000,80,0.120,0.114,3,0.000,0.000,0,13,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-10,3,531,1,-186,227,0.9,3.0,341,125,35,1500,1800,1800,11.8,2.27,31,0.009,0,2,40,0,0
[FLT] 410,10,settle,0.008,0.008,0.000,80,0.380,0.346,3,0.000,0.000,4,89,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-10,3,531,1,-186,227,0.8,1.4,339,125,35,1500,1800,1800,11.8,2.27,31,0.004,0,2,40,0,0
[FLT] 492,10,settle,0.002,0.002,0.000,100,0.420,0.386,1,0.000,0.000,8,131,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-10,3,531,1,-186,227,0.8,1.4,339,125,35,1500,1800,1800,11.8,2.45,31,0.006,1,0,40,0,0
[FLT] 569,10,guard,0.006,0.006,0.000,100,0.280,0.200,1,0.006,0.064,9,71,0,2,0.000,0.000,0.000,0,0,1351,1351,1351,1351,0,-29,13,582,-151,-181,265,-0.3,0.0,335,125,35,1500,1800,1800,11.8,2.45,31,0.011,1,0,40,0,0
[FLT] 651,10,guard,0.005,0.005,0.000,100,0.230,0.126,1,0.005,0.073,7,12,0,2,0.000,0.000,0.000,0,0,1352,1352,1352,1352,0,-29,13,582,-151,-181,265,-0.3,0.0,335,124,35,1500,1800,1800,11.7,3.50,31,0.018,1,0,40,0,0
[FLT] 733,10,guard,0.010,0.010,0.040,100,0.200,0.081,1,0.010,0.071,7,-4,0,2,0.000,0.000,0.000,0,0,1353,1353,1353,1353,0,-26,31,634,-67,27,625,-0.3,0.0,335,124,35,1500,1800,1800,11.7,3.50,31,0.040,1,0,40,0,0
[FLT] 815,10,guard,0.015,0.015,0.040,80,0.190,0.066,3,0.015,0.066,6,-11,0,2,0.000,0.000,0.000,0,0,1354,1354,1354,1354,0,-26,31,634,-67,27,625,0.6,0.6,331,125,35,1500,1800,1800,11.7,3.50,31,0.040,0,2,40,0,0
[FLT] 897,10,guard,0.027,0.027,0.078,80,0.200,0.082,3,0.027,0.069,7,-16,0,2,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0,-26,31,634,-67,27,625,0.6,0.6,331,125,35,1500,1800,1800,11.7,3.70,31,0.078,0,2,40,0,0
[FLT] 974,10,guard,0.051,0.051,0.134,80,0.240,0.123,3,0.051,0.086,9,0,0,2,0.000,0.000,0.000,0,0,1357,1357,1357,1357,0,-21,22,552,145,156,617,0.5,0.5,323,125,35,1500,1800,1800,11.7,3.70,31,0.134,0,2,40,0,0
[FLT] 1056,10,cascade,0.080,0.080,0.178,80,0.230,0.121,3,0.099,0.110,12,0,0,2,0.092,-0.013,-0.018,-1,-0,1349,1348,1050,1650,0,-21,22,552,145,156,617,0.5,0.5,323,124,35,1500,1800,1800,11.6,4.32,31,0.178,0,2,40,0,0
[FLT] 1137,10,cascade,0.115,0.115,0.228,80,0.320,0.219,3,0.132,0.138,15,11,0,2,0.095,-0.024,-0.042,-3,-0,1347,1347,1050,1650,0,-14,24,571,-154,-193,1014,0.5,0.5,323,124,35,1500,1800,1800,11.6,4.32,31,0.228,0,2,40,0,0
[FLT] 1219,10,cascade,0.161,0.161,0.303,100,0.370,0.269,1,0.165,0.169,20,42,0,2,-0.038,-0.047,-0.207,-14,-0,1336,1335,1050,1650,0,-14,24,571,-154,-193,1014,0.5,0.1,311,124,35,1500,1800,1800,11.6,4.32,31,0.303,1,0,41,0,0
[FLT] 1301,10,cascade,0.212,0.212,0.374,100,0.380,0.283,1,0.197,0.207,24,34,0,2,-0.061,-0.077,-0.268,-19,-0,1331,1331,1050,1650,0,-14,24,571,-154,-193,1014,0.5,0.1,311,124,35,1500,1800,1800,11.6,3.97,31,0.374,1,0,40,0,0
[FLT] 1379,10,cascade,0.267,0.267,0.443,100,0.380,0.294,1,0.229,0.247,28,25,0,2,-0.090,-0.112,-0.337,-24,-0,1326,1326,1050,1650,0,-6,43,579,185,188,982,1.0,0.7,300,124,35,1500,1800,1800,11.6,3.97,31,0.443,1,0,41,0,0
[FLT] 1460,10,cascade,0.328,0.328,0.529,100,0.410,0.342,1,0.261,0.292,33,21,0,2,-0.110,-0.155,-0.402,-28,-0,1322,1321,1050,1650,0,-6,43,579,185,188,982,1.0,0.7,300,125,35,1500,1800,1800,11.6,4.12,31,0.529,1,0,41,0,0
[FLT] 1542,10,cascade,0.352,0.352,0.529,80,0.460,0.414,3,0.294,0.311,32,28,0,2,-0.109,-0.151,-0.421,-29,-0,1321,1320,1050,1650,0,-33,17,508,-65,-59,767,1.0,0.7,300,125,35,1500,1800,1800,11.6,4.12,31,0.529,0,2,40,0,0
[FLT] 1624,10,cascade,0.422,0.422,0.618,80,0.490,0.469,3,0.327,0.352,37,29,0,2,-0.122,-0.201,-0.475,-33,-0,1317,1316,1050,1650,0,-33,17,508,-65,-59,767,0.1,-0.1,289,125,35,1500,1800,1800,11.6,4.12,31,0.618,0,2,40,0,0
[FLT] 1707,10,cascade,0.498,0.498,0.704,80,0.590,0.592,3,0.360,0.400,42,47,0,2,-0.137,-0.258,-0.537,-38,-0,1312,1312,1050,1650,0,-33,17,508,-65,-59,767,0.1,-0.1,289,125,35,1500,1800,1800,11.6,3.95,31,0.704,0,2,40,0,0
[FLT] 1784,10,cascade,0.578,0.578,0.793,80,0.650,0.673,3,0.391,0.448,47,66,0,2,-0.154,-0.322,-0.601,-42,-0,1308,1307,1050,1650,0,-29,33,550,-70,-25,796,0.6,0.4,279,125,35,1500,1800,1800,11.6,3.95,31,0.793,0,2,40,0,0
[FLT] 1866,10,cascade,0.664,0.664,0.889,80,0.710,0.755,3,0.423,0.498,52,70,0,2,-0.171,-0.390,-0.670,-47,-0,1303,1303,1050,1650,0,-29,33,550,-70,-25,796,0.6,0.4,279,125,35,1500,1800,1800,11.6,3.77,31,0.889,0,2,40,0,0
[FLT] 1948,10,cascade,0.751,0.751,0.981,100,0.800,0.845,1,0.456,0.533,57,80,0,2,-0.188,-0.455,-0.721,-50,-0,1300,1299,1050,1650,0,-25,10,515,37,79,472,0.6,0.4,279,125,35,1500,1800,1800,11.6,3.77,31,0.981,1,0,40,0,0
[FLT] 2030,10,cascade,0.842,0.842,1.074,100,0.900,0.961,1,0.489,0.579,62,89,0,2,-0.200,-0.527,-0.779,-55,-0,1295,1295,1050,1650,0,-25,10,515,37,79,472,0.1,0.1,271,125,35,1500,1800,1800,11.6,3.77,31,1.074,1,0,41,0,0
[FLT] 2112,10,cascade,0.934,0.934,1.161,100,1.040,1.115,1,0.522,0.624,66,114,0,2,-0.200,-0.600,-0.824,-58,-0,1292,1292,1050,1650,0,-25,10,515,37,79,472,0.1,0.1,271,125,35,1500,1800,1800,11.6,3.77,31,1.161,1,0,40,0,0
[FLT] 2189,10,cascade,1.027,1.027,1.247,100,1.130,1.210,1,0.553,0.670,71,125,0,2,-0.200,-0.676,-0.870,-61,-0,1289,1289,1050,1650,0,-27,9,518,-130,-69,437,0.1,0.1,265,125,35,1500,1800,1800,11.6,3.77,31,1.247,1,0,40,0,0
[FLT] 2271,10,cascade,1.083,1.083,1.247,80,1.170,1.255,3,0.585,0.691,70,117,0,2,-0.200,-0.705,-0.891,-62,-0,1288,1287,1050,1650,0,-27,9,518,-130,-69,437,0.1,0.1,265,125,35,1500,1800,1800,11.6,3.47,31,1.247,0,2,40,0,0
[FLT] 2352,10,cascade,1.176,1.176,1.332,80,1.230,1.319,3,0.618,0.725,74,103,0,2,-0.200,-0.776,-0.925,-65,-0,1285,1285,1050,1650,0,-36,2,505,67,117,224,0.1,0.1,265,125,35,1500,1800,1800,11.6,3.47,31,1.332,0,2,40,0,0
[FLT] 2434,10,cascade,1.268,1.268,1.405,80,1.350,1.445,3,0.651,0.756,77,100,0,2,-0.200,-0.844,-0.956,-67,-0,1283,1283,1050,1650,0,-36,2,505,67,117,224,0.5,0.5,262,124,35,1500,1800,1800,11.6,3.47,31,1.405,0,2,40,0,0
[FLT] 2517,10,cascade,1.359,1.359,1.484,80,1.410,1.506,3,0.684,0.787,80,104,0,2,-0.200,-0.911,-0.987,-69,-0,1281,1280,1050,1650,0,-36,2,505,67,117,224,0.5,0.5,262,124,35,1500,1800,1800,11.5,3.60,31,1.484,0,2,41,0,0
[FLT] 2594,10,cascade,1.447,1.447,1.553,80,1.480,1.578,3,0.715,0.812,82,98,0,2,-0.200,-0.976,-1.012,-71,-0,1279,1279,1050,1650,0,-34,13,494,-74,-121,-15,0.0,0.0,261,124,35,1500,1800,1800,11.5,3.60,31,1.553,0,2,40,0,0
[FLT] 2676,10,cascade,1.527,1.527,1.628,100,1.550,1.648,1,0.747,0.822,83,93,0,2,-0.200,-1.026,-1.022,-72,-0,1278,1278,1050,1650,0,-34,13,494,-74,-121,-15,0.0,0.0,261,124,35,1500,1800,1800,11.6,3.25,31,1.628,1,0,40,0,0
[FLT] 2758,10,cascade,1.601,1.601,1.687,100,1.590,1.686,1,0.780,0.825,83,88,0,2,-0.200,-1.069,-1.025,-72,-0,1278,1278,1050,1650,0,-29,13,405,23,-67,-65,0.0,0.0,261,124,35,1500,1800,1800,11.6,3.25,31,1.687,1,0,40,0,0
[FLT] 2839,10,cascade,1.670,1.670,1.736,100,1.650,1.746,1,0.813,0.822,82,76,0,2,-0.200,-1.104,-1.022,-72,-0,1278,1278,1050,1650,0,-29,13,405,23,-67,-65,0.2,0.2,262,125,35,1500,1800,1800,11.6,3.25,31,1.736,1,0,40,0,0
[FLT] 2921,10,cascade,1.729,1.729,1.736,80,1.710,1.805,3,0.845,0.809,80,72,0,2,-0.200,-1.126,-1.009,-71,-0,1279,1279,1050,1650,0,-29,13,405,23,-67,-65,0.2,0.2,262,125,35,1500,1800,1800,11.6,2.27,31,1.736,0,2,41,0,0
[FLT] 2999,10,cascade,1.782,1.782,1.756,80,1.770,1.855,3,0.877,0.792,78,73,0,2,-0.200,-1.143,-0.992,-69,-0,1281,1280,1050,1650,0,-46,-14,225,86,-62,-920,-0.4,-0.9,270,125,35,1500,1800,1800,11.6,2.27,31,1.756,0,2,40,0,0
[FLT] 3080,10,cascade,1.825,1.825,1.744,80,1.890,1.956,3,0.909,0.763,75,85,0,2,-0.200,-1.145,-0.963,-67,-0,1283,1282,1050,1650,0,-46,-14,225,86,-62,-920,-0.4,-0.9,270,125,35,1500,1800,1800,11.6,2.12,31,1.744,0,2,41,0,0
[FLT] 3162,10,cascade,1.855,1.855,1.680,80,2.040,2.062,3,0.942,0.726,71,117,0,2,-0.200,-1.131,-0.926,-65,-0,1285,1285,1050,1650,0,-24,-17,542,154,13,-226,-0.4,-0.9,270,125,35,1500,1800,1800,11.6,2.12,31,1.680,0,2,40,0,0
[FLT] 3243,10,cascade,1.866,1.866,1.589,80,2.060,2.022,3,0.974,0.685,67,115,0,2,-0.200,-1.097,-0.885,-62,-0,1288,1288,1050,1650,0,-24,-17,542,154,13,-226,1.5,-0.4,277,124,35,1500,1800,1800,11.6,2.12,31,1.590,0,2,40,0,0
