[RUN] MISSION type=1 hover=1230 sprintYaw=1700 target=18.30 kp=0.80 ki=0.00 kd=110.00 tofFull=1.60 tofZero=2.20
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,cmdYaw,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 21,2,sprint,0.000,0.000,-1.000,0,0.020,0.020,0,0.000,-0.299,-28,0,-15,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,43,5,520,-66,-47,75,2.7,-4.8,31,124,35,0,1700,0,0,12.4,0.35,15,0.000,0,0,0,255,0
[FLT] 86,2,sprint,-0.227,-0.227,-1.000,0,-0.010,-0.010,0,0.000,-0.102,0,0,0,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,43,5,520,-66,-47,75,2.7,-4.5,31,124,35,0,1700,0,0,12.4,0.35,15,0.000,0,7,43,2,0
[FLT] 151,2,sprint,-0.236,-0.236,-1.000,0,-0.030,-0.030,0,0.000,-0.035,0,0,0,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,43,5,520,-66,-47,75,2.7,-4.5,31,124,35,0,1700,0,0,12.4,0.35,15,0.000,0,7,44,2,0
[FLT] 216,2,sprint,-0.200,-0.200,-1.000,0,0.180,0.180,0,0.000,-0.009,1,14,0,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,43,5,520,-66,-47,75,2.7,-4.5,31,124,35,0,1700,0,0,12.1,13.77,15,0.000,0,2,44,2,0
[FLT] 281,2,sprint,-0.133,-0.133,-1.000,0,0.370,0.370,0,0.000,0.070,14,75,74,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,43,5,520,-66,-47,75,2.7,-4.5,31,124,35,0,1700,0,0,12.1,13.77,15,0.000,0,7,43,2,0
[FLT] 348,2,sprint,0.072,0.072,-1.000,0,0.850,0.850,0,0.000,0.272,47,224,74,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,85,1187,888,653,24,-2041,2.7,-4.5,31,124,35,0,1700,0,0,12.1,13.77,15,0.000,0,7,44,2,0
[FLT] 413,2,sprint,0.199,0.199,-1.000,0,1.060,1.060,0,0.000,0.495,65,294,74,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,85,1187,888,653,24,-2041,-1.0,-1.8,63,124,35,0,1700,0,0,12.1,13.77,15,0.000,0,7,44,2,0
[FLT] 479,2,sprint,0.457,0.457,-1.000,0,1.230,1.230,0,0.000,0.785,105,330,217,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,85,1187,888,653,24,-2041,-1.0,-1.8,63,125,35,0,1700,0,0,12.1,13.77,15,0.000,0,7,44,2,0
[FLT] 544,2,sprint,0.608,0.608,-1.000,0,1.520,1.520,0,0.000,1.067,126,354,217,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,85,1187,888,653,24,-2041,-1.0,-1.8,63,125,35,0,1700,0,0,11.5,23.02,15,0.000,0,7,44,2,0
[FLT] 610,2,sprint,0.892,0.892,-1.000,0,2.130,2.130,0,0.000,1.260,139,459,217,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,85,1187,888,653,24,-2041,-1.0,-1.8,63,125,35,0,1700,0,0,11.5,23.02,15,0.000,0,7,44,2,0
[FLT] 674,2,sprint,1.036,1.036,-1.000,0,2.260,2.260,0,0.000,1.376,145,492,217,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,58,298,760,-204,-327,-1603,-1.0,-1.8,63,125,35,0,1700,0,0,11.5,23.02,15,0.000,0,2,44,2,0
[FLT] 739,2,sprint,1.348,1.348,-1.000,0,2.540,2.540,0,0.000,1.547,170,449,341,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,58,298,760,-204,-327,-1603,1.1,-1.7,106,125,35,0,1700,0,0,11.5,23.02,15,0.000,0,7,43,4,0
[FLT] 804,2,sprint,1.525,1.525,-1.000,0,2.930,2.930,0,0.000,1.715,183,479,341,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,58,298,760,-204,-327,-1603,1.1,-1.7,106,125,35,0,1700,0,0,11.5,23.02,15,0.000,0,7,44,2,0
[FLT] 870,2,sprint,1.887,1.887,-1.000,0,3.350,3.350,0,0.000,1.898,205,536,341,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,58,298,760,-204,-327,-1603,1.1,-1.7,106,125,35,0,1700,0,0,11.2,24.17,15,0.000,0,7,44,2,0
[FLT] 935,2,sprint,2.062,2.062,-1.000,0,3.800,3.800,0,0.000,2.014,208,569,497,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,58,298,760,-204,-327,-1603,1.1,-1.7,106,125,35,0,1700,0,0,11.2,24.17,15,0.000,0,7,44,2,0
[FLT] 1002,2,sprint,2.431,2.431,-1.000,0,4.410,4.410,0,0.000,2.097,216,658,497,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,73,193,771,140,16,-1846,1.1,-1.7,106,125,35,0,1700,0,0,11.2,24.17,15,0.000,0,7,44,1,0
[FLT] 1067,2,sprint,2.632,2.632,-1.000,0,4.830,4.830,0,0.000,2.164,221,710,497,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,73,193,771,140,16,-1846,0.5,-0.5,144,125,35,0,1700,0,0,11.2,24.17,15,0.000,0,7,44,2,0
[FLT] 1133,2,sprint,3.037,3.037,-1.000,0,5.280,5.280,0,0.000,2.253,233,701,577,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,73,193,771,140,16,-1846,0.5,-0.5,144,125,35,0,1700,0,0,11.2,24.17,15,0.000,0,7,44,2,0
[FLT] 1198,2,sprint,3.248,3.248,-1.000,0,5.520,5.520,0,0.000,2.334,239,688,577,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,73,193,771,140,16,-1846,0.5,-0.5,144,125,35,0,1700,0,0,11.0,21.97,15,0.000,0,7,44,2,0
[FLT] 1264,2,sprint,3.671,3.671,-1.000,0,5.910,5.910,0,0.000,2.442,254,617,577,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,73,193,771,140,16,-1846,0.5,-0.5,144,125,35,0,1700,0,0,11.0,21.97,15,0.000,0,7,44,2,0
[FLT] 1329,2,sprint,3.899,3.899,-1.000,0,6.280,6.280,0,0.000,2.548,262,630,577,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,107,2593,629,-144,-279,-2214,0.5,-0.5,144,125,35,0,1700,0,0,11.0,21.97,15,0.000,0,7,44,2,0
[FLT] 1394,2,sprint,4.377,4.377,-1.000,0,6.890,6.890,0,0.000,2.692,282,672,586,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,107,2593,629,-144,-279,-2214,1.2,-0.8,186,125,35,0,1700,0,0,11.0,21.97,15,0.000,0,7,43,2,0
[FLT] 1459,2,sprint,4.632,4.632,-1.000,0,7.170,7.170,0,0.000,2.833,293,687,586,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,107,2593,629,-144,-279,-2214,1.2,-0.8,186,124,35,0,1700,0,0,11.0,21.97,15,0.000,0,7,44,2,0
[FLT] 1525,2,sprint,5.170,5.170,-1.000,0,7.780,7.780,0,0.000,3.014,317,717,586,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,107,2593,629,-144,-279,-2214,1.2,-0.8,186,124,35,0,1700,0,0,11.0,20.40,15,0.000,0,7,44,2,0
[FLT] 1590,2,sprint,5.441,5.441,-1.000,0,7.850,7.850,0,0.000,3.178,329,685,584,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,107,2593,629,-144,-279,-2214,1.2,-0.8,186,124,35,0,1700,0,0,11.0,20.40,15,0.000,0,7,44,2,0
[FLT] 1656,2,sprint,5.943,5.943,-1.000,0,7.750,7.750,0,0.000,3.347,348,477,584,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,158,-191,541,403,-595,-2351,1.2,-0.8,186,124,35,0,1700,0,0,11.0,20.40,15,0.000,0,7,44,1,0
[FLT] 1721,2,sprint,6.217,6.217,-1.000,0,7.850,7.850,0,0.000,3.511,363,389,584,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,158,-191,541,403,-595,-2351,2.7,-0.6,224,124,35,0,1700,0,0,11.0,20.40,15,0.000,0,7,44,2,0
[FLT] 1787,2,sprint,6.716,6.716,-1.000,0,8.450,8.450,0,0.000,3.668,378,406,445,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,158,-191,541,403,-595,-2351,2.7,-0.6,224,124,35,0,1700,0,0,11.0,20.40,15,0.000,0,7,44,2,0
[FLT] 1852,2,sprint,6.962,6.962,-1.000,0,8.600,8.600,0,0.000,3.773,384,421,445,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,158,-191,541,403,-595,-2351,2.7,-0.6,224,124,35,0,1700,0,0,10.9,20.82,15,0.000,0,7,44,2,0
[FLT] 1918,2,sprint,7.474,7.474,-1.000,0,9.250,9.250,0,0.000,3.888,399,500,445,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,158,-191,541,403,-595,-2351,2.7,-0.6,224,124,35,0,1700,0,0,10.9,20.82,15,0.000,0,7,44,2,0
[FLT] 1983,2,sprint,7.735,7.735,-1.000,0,9.410,9.410,0,0.000,3.919,406,521,445,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,70,2037,628,385,-322,-2006,2.7,-0.6,224,124,35,0,1700,0,0,10.9,20.82,15,0.000,0,7,44,2,0
[FLT] 2048,2,sprint,8.309,8.309,-1.000,0,10.500,10.500,0,0.000,3.919,425,694,550,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,70,2037,628,385,-322,-2006,1.1,0.3,267,124,35,0,1700,0,0,10.9,20.82,15,0.000,0,7,43,1,0
[FLT] 2113,2,sprint,8.614,8.614,-1.000,0,10.740,10.740,0,0.000,3.919,435,743,550,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,70,2037,628,385,-322,-2006,1.1,0.3,267,124,35,0,1700,0,0,10.9,20.82,15,0.000,0,7,44,2,0
[FLT] 2179,2,sprint,9.215,9.215,-1.000,0,11.160,11.160,0,0.000,3.919,454,709,550,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,70,2037,628,385,-322,-2006,1.1,0.3,267,124,35,0,1700,0,0,10.8,20.45,15,0.000,0,7,44,2,0
[FLT] 2244,2,sprint,9.531,9.531,-1.000,0,11.540,11.540,0,0.000,3.919,464,715,635,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,70,2037,628,385,-322,-2006,1.1,0.3,267,124,35,0,1700,0,0,10.8,20.45,15,0.000,0,7,44,2,0
[FLT] 2311,2,sprint,10.178,10.178,-1.000,0,12.180,12.180,0,0.000,3.919,485,753,635,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,26,133,721,-58,143,-1723,1.1,0.3,267,124,35,0,1700,0,0,10.8,20.45,15,0.000,0,7,44,2,0
[FLT] 2376,2,sprint,10.500,10.500,-1.000,0,12.310,12.310,0,0.000,3.919,495,728,635,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,26,133,721,-58,143,-1723,-0.9,1.5,307,124,35,0,1700,0,0,10.8,20.45,15,0.000,0,7,44,2,0
[FLT] 2442,2,sprint,11.138,11.138,-1.000,0,12.790,12.790,0,0.000,3.919,514,665,606,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,26,133,721,-58,143,-1723,-0.9,1.5,307,125,35,0,1700,0,0,10.8,20.45,15,0.000,0,7,44,2,0
[FLT] 2507,2,sprint,11.457,11.457,-1.000,0,12.990,12.990,0,0.000,3.919,522,638,606,2,0.000,0.000,0.000,0,0,1900,1900,1900,1900,0,26,133,721,-58,143,-1723,-0.9,1.5,307,125,35,0,1700,0,0,10.8,21.77,15,0.000,0,7,44,2,0
