[RUN] MISSION type=1 hover=1400 sprintThr=2000 sprintYaw=1700 cutoff=12.00 target=18.30 punchStart=7500 punchThr=1750 kp=0.80 ki=0.00 kd=110.00 tofFull=1.60 tofZero=2.20
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,cmdYaw,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 58,2,sprint,0.021,0.021,-1.000,0,-0.260,-0.260,0,0.000,-0.085,-4,-7,0,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,12,-14,524,-23,142,26,0.9,-2.6,359,124,35,0,1700,0,0,12.2,0.35,15,0.000,0,7,20,2,0
[FLT] 120,2,sprint,0.020,0.020,-1.000,0,-0.260,-0.260,0,0.000,-0.047,-2,0,0,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,56,16,536,-49,21,-125,0.9,-2.6,359,124,35,0,1700,0,0,12.2,0.35,15,0.000,0,7,40,2,0
[FLT] 180,2,sprint,0.043,0.043,-1.000,0,-0.130,-0.130,0,0.000,-0.023,-1,1,0,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,56,16,536,-49,21,-125,1.2,-2.0,3,124,35,0,1700,0,0,12.2,0.35,15,0.000,0,7,40,2,0
[FLT] 240,2,sprint,0.104,0.104,-1.000,0,0.080,0.080,0,0.000,0.019,10,59,69,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,56,16,536,-49,21,-125,1.2,-2.0,3,124,35,0,1700,0,0,12.2,0.35,15,0.000,0,7,60,2,0
[FLT] 300,2,sprint,0.233,0.233,-1.000,0,0.260,0.260,0,0.000,0.183,34,147,69,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,56,16,536,-49,21,-125,1.2,-2.0,3,124,35,0,1700,0,0,11.7,15.37,15,0.000,0,7,40,2,0
[FLT] 360,2,sprint,0.321,0.321,-1.000,0,0.430,0.430,0,0.000,0.321,47,185,69,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,56,16,536,-49,21,-125,1.2,-2.0,3,124,35,0,1700,0,0,11.7,15.37,15,0.000,0,7,60,2,0
[FLT] 420,2,sprint,0.478,0.478,-1.000,0,0.560,0.560,0,0.000,0.533,74,222,158,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,-5,11,801,-139,-21,-3238,1.2,-2.0,3,124,35,0,1700,0,0,11.7,15.37,15,0.000,0,7,40,2,0
[FLT] 478,2,sprint,0.559,0.559,-1.000,0,0.590,0.590,0,0.000,0.721,86,212,158,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,-5,11,801,-139,-21,-3238,-0.3,1.2,41,124,35,0,1700,0,0,11.7,15.37,15,0.000,0,7,40,2,0
[FLT] 538,2,sprint,0.638,0.638,-1.000,0,0.660,0.660,0,0.000,0.873,96,205,158,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,-5,11,801,-139,-21,-3238,-0.3,1.2,41,125,35,0,1700,0,0,11.7,15.37,15,0.000,0,7,40,2,0
[FLT] 600,2,sprint,0.887,0.887,-1.000,0,1.340,1.340,0,0.000,1.055,126,294,282,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,-5,11,801,-139,-21,-3238,-0.3,1.2,41,125,35,0,1700,0,0,11.2,24.10,15,0.000,0,7,40,1,0
