[RUN] MISSION type=1 hover=1400 sprintThr=2000 sprintYaw=1700 cutoff=15.00 target=18.30 punchStart=7500 punchThr=2000 punchYaw=1900 kp=0.80 ki=0.00 kd=110.00 tofFull=1.60 tofZero=2.20
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,cmdYaw,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 60,2,sprint,-0.272,-0.272,-1.000,0,-0.040,-0.040,0,0.000,-0.013,0,0,0,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,-17,-24,533,23,-58,0,-3.3,0.5,281,124,35,0,1700,0,0,11.9,0.32,15,0.000,0,2,40,255,0
[FLT] 120,2,sprint,-0.266,-0.266,-1.000,0,-0.030,-0.030,0,0.000,-0.005,0,0,0,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,-3,-51,564,253,-48,-109,-3.3,0.5,281,124,35,0,1700,0,0,11.9,0.32,15,0.000,0,2,20,255,0
[FLT] 180,2,sprint,-0.263,-0.263,-1.000,0,-0.020,-0.020,0,0.000,-0.002,0,0,0,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,-3,-51,564,253,-48,-109,-1.4,0.7,282,124,35,0,1700,0,0,11.9,0.32,15,0.000,0,2,40,255,0
[FLT] 240,2,sprint,-0.248,-0.248,-1.000,0,0.050,0.050,0,0.000,0.009,2,6,20,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,-3,-51,564,253,-48,-109,-1.4,0.7,282,125,35,0,1700,0,0,11.9,0.32,15,0.000,0,2,40,255,0
[FLT] 300,2,sprint,-0.158,-0.158,-1.000,0,0.320,0.320,0,0.000,0.071,15,97,20,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,-3,-51,564,253,-48,-109,-1.4,0.7,282,125,35,0,1700,0,0,11.4,14.30,15,0.000,0,2,40,255,0
[FLT] 360,2,sprint,-0.126,-0.126,-1.000,0,0.250,0.250,0,0.000,0.146,20,100,20,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,-3,-51,564,253,-48,-109,-1.4,0.7,282,125,35,0,1700,0,0,11.4,14.30,15,0.000,0,2,40,255,0
[FLT] 420,2,sprint,-0.103,-0.103,-1.000,0,0.100,0.100,0,0.000,0.199,23,30,22,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,88,-41,580,191,-333,-622,-1.4,0.7,282,125,35,0,1700,0,0,11.4,14.30,15,0.000,0,2,40,255,0
[FLT] 480,2,sprint,-0.097,-0.097,-1.000,0,0.110,0.110,0,0.000,0.219,23,13,22,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,2,41,611,171,-112,15,-1.4,0.7,282,125,35,0,1700,0,0,11.4,14.30,15,0.000,0,2,40,255,0
[FLT] 540,2,sprint,-0.081,-0.081,-1.000,0,0.190,0.190,0,0.000,0.213,21,7,22,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,2,41,611,171,-112,15,4.2,-4.4,283,125,35,0,1700,0,0,11.4,14.30,15,0.000,0,2,40,255,0
[FLT] 600,2,sprint,-0.066,-0.066,-1.000,0,0.250,0.250,0,0.000,0.211,21,23,22,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,2,41,611,171,-112,15,4.2,-4.4,283,124,35,0,1700,0,0,11.4,14.30,15,0.000,0,2,40,255,0
[FLT] 660,2,sprint,-0.041,-0.041,-1.000,0,0.290,0.290,0,0.000,0.220,23,38,51,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,2,41,611,171,-112,15,4.2,-4.4,283,124,35,0,1700,0,0,11.0,17.42,15,0.000,0,2,60,255,0
