[RUN] MISSION type=1 hover=1400 sprintThr=2000 cutoff=15.80 target=18.30 yawSpinStart=6000 punchStart=7000 punchThr=2000 punchYaw=1900 kp=0.80 ki=0.00 kd=110.00 tofFull=1.60 tofZero=2.20
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,cmdYaw,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 59,2,sprint,-0.308,-0.308,-1.000,0,0.030,0.030,0,0.000,0.007,0,0,0,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,58,3,487,-179,72,-90,1.9,-3.7,37,124,35,0,1500,0,0,12.0,0.40,15,0.000,0,7,40,2,0
[FLT] 120,2,sprint,-0.305,-0.305,-1.000,0,0.030,0.030,0,0.000,0.002,0,0,0,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,58,3,487,-179,72,-90,2.4,-4.7,38,124,35,0,1500,0,0,12.0,0.40,15,0.000,0,7,40,2,0
[FLT] 179,2,sprint,-0.308,-0.308,-1.000,0,0.020,0.020,0,0.000,0.001,0,0,0,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,58,3,487,-179,72,-90,2.4,-4.7,38,125,35,0,1500,0,0,12.0,0.40,15,0.000,0,7,40,2,0
[FLT] 240,2,sprint,-0.253,-0.253,-1.000,0,0.260,0.260,0,0.000,0.024,8,43,51,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,58,3,487,-179,72,-90,2.4,-4.7,38,125,35,0,1500,0,0,11.6,18.42,15,0.000,0,7,40,2,0
[FLT] 299,2,sprint,-0.200,-0.200,-1.000,0,0.380,0.380,0,0.000,0.108,18,89,51,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,58,3,487,-179,72,-90,2.4,-4.7,38,125,35,0,1500,0,0,11.6,18.42,15,0.000,0,7,40,7,0
[FLT] 360,2,sprint,-0.204,-0.204,-1.000,0,0.480,0.137,0,0.000,0.232,35,133,51,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,114,757,1340,-133,351,-105,2.4,-4.7,38,125,35,0,1500,0,0,11.6,18.42,15,0.097,0,7,40,2,0
[FLT] 419,2,sprint,-0.177,-0.177,0.097,80,0.700,0.357,3,0.000,0.346,43,161,51,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,114,757,1340,-133,351,-105,-0.6,-2.3,37,125,35,0,1500,0,0,11.6,18.42,15,0.097,0,2,40,2,0
[FLT] 480,2,sprint,-0.041,-0.041,-1.000,0,1.530,1.187,0,0.000,0.580,83,369,146,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,114,757,1340,-133,351,-105,-0.6,-2.3,37,125,35,0,1500,0,0,11.6,18.42,15,0.097,0,7,40,1,0
[FLT] 539,2,sprint,0.063,0.063,-1.000,0,1.850,1.507,0,0.000,0.855,107,474,146,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,114,757,1340,-133,351,-105,-0.6,-2.3,37,125,35,0,1500,0,0,11.0,24.47,15,0.097,0,7,40,1,0
[FLT] 599,2,sprint,0.179,0.179,-1.000,0,1.950,1.607,0,0.000,1.138,130,516,146,2,0.000,0.000,0.000,0,0,2000,2000,2000,2000,0,114,757,1340,-133,351,-105,-0.6,-2.3,37,125,35,0,1500,0,0,11.0,24.47,15,0.097,0,7,40,2,0
